namecode,newname,impute,include,class,sotc08,sotc09,sotc10,sotc08_index,sotc09_index,sotc10_index
Part3-3-025,Q31F,N,N,NA,NA,NA,Q31F,NA,NA,90
Part3-3-026,Q31G,N,N,NA,NA,NA,Q31G,NA,NA,91
Part3-3-027,Q31H,N,N,NA,NA,NA,Q31H,NA,NA,92
Part3-3-028,QD13A,N,N,factor,NA,NA,QD13A,NA,NA,111
Part3-3-029,QD13B,N,N,factor,NA,NA,QD13B,NA,NA,112
Part3-3-030,QD13C,N,N,factor,NA,NA,QD13C,NA,NA,113
Part3-3-031,Q15VERA,N,N,factor,NA,NA,Q15VERA,NA,NA,114
Part3-3-032,Q15VERB,N,N,factor,NA,NA,Q15VERB,NA,NA,115
Part3-3-033,Q15VERAS,N,N,factor,NA,NA,Q15VERAS,NA,NA,116
Part3-3-034,Q15VERBS,N,N,factor,NA,NA,Q15VERBS,NA,NA,117
Part3-3-035,TOTALN,N,N,integer,NA,NA,TOTALN,NA,NA,121
Part3-3-036,LEI,N,N,numeric,NA,NA,LEI,NA,NA,122
Part3-3-037,RACE_GRO,N,N,factor,NA,NA,RACE_GRO,NA,NA,126
Part3-3-040,Q7NR,N,N,factor,NA,NA,Q7NR,NA,NA,148
Part3-3-041,Q7OR,N,N,factor,NA,NA,Q7OR,NA,NA,149
Part3-3-042,Q7PR,N,N,factor,NA,NA,Q7PR,NA,NA,150
Part3-3-043,Q8GR,N,N,factor,NA,NA,Q8GR,NA,NA,157
Part3-3-044,Q10AR,N,N,factor,NA,NA,Q10AR,NA,NA,167
Part3-3-045,Q22ER,N,N,factor,NA,NA,Q22ER,NA,NA,173
Part3-3-046,Q22FR,N,N,factor,NA,NA,Q22FR,NA,NA,174
Part3-3-047,Q22GR,N,N,factor,NA,NA,Q22GR,NA,NA,175
Part3-3-048,Q22HR,N,N,factor,NA,NA,Q22HR,NA,NA,176
Part3-3-049,Q22IR,N,N,factor,NA,NA,Q22IR,NA,NA,177
Part3-3-050,Q22_AR,N,N,integer,NA,NA,Q22_AR,NA,NA,178
Part3-3-051,Q24AR,N,N,factor,NA,NA,Q24AR,NA,NA,181
Part3-3-055,GENDER,N,N,factor,NA,NA,GENDER,NA,NA,205
